Num_facture,num_contrat,exe,dtemi,datedeb,datefin,datcpt,libop,ncli,Prime,nomncli,nb_jour_couv,client_age,client_gender,client_marital_status
307966,16073,2021,6/4/2023,6/28/2021,6/28/2022,6/28/2023,Ristourne,3274067,-10002.7,client_31,181,60,Female,Married
301451,16104,2023,4/25/2023,1/14/2023,3/29/2023,4/28/2023,Avenant,4958178,2801.96,client_35,74,31,Female,Married
194212,16076,2022,4/24/2022,12/29/2021,12/29/2022,4/28/2022,Terme,907471,6235.02,client_36,365,37,Male,Divorced
518095,16099,2025,3/2/2025,12/29/2024,12/28/2025,3/28/2025,Terme,4865323,1383.1492,client_37,364,42,Female,Married
375089,16107,2024,1/22/2024,12/30/2023,12/28/2024,1/30/2024,Terme,6160858,14889.82,client_38,364,38,Female,Married
153234,16104,2021,4/17/2021,3/21/2021,12/28/2021,4/27/2021,Affaire Nouvelle,4976519,8003.09,client_39,282,40,Female,Single
598689,16162,2025,12/7/2025,10/23/2025,12/28/2025,12/29/2025,Avenant,35104987,833.34,client_40,66,48,Female,Single
188882,16100,2022,2/12/2022,12/29/2021,12/29/2022,2/26/2022,Terme,4261061,69878.69,client_41,365,25,Female,Single
494105,16114,2024,12/10/2024,9/23/2024,6/27/2025,12/28/2024,Avenant,1720149,3920.39,client_42,97,42,Male,Married
494105,16114,2024,12/10/2024,9/23/2024,6/27/2025,12/28/2024,Avenant,1720149,3920.39,client_42,180,42,Male,Married
189019,16102,2022,2/17/2022,12/29/2021,12/29/2022,2/26/2022,Terme,4883429,8425.1,client_43,365,39,Female,Married
486242,16134,2024,11/7/2024,9/1/2024,12/28/2024,11/27/2024,Affaire Nouvelle,17310461,1038.33,client_44,118,47,Male,Married
314326,16116,2023,6/28/2023,5/6/2023,12/29/2023,6/28/2023,Avenant,7370771,25.7,client_45,237,59,Female,Widowed
589819,16165,2025,11/21/2025,9/13/2025,12/28/2025,11/27/2025,Affaire Nouvelle,35160122,1427.36,client_46,106,53,Female,Widowed
308741,16099,2023,6/23/2023,2/25/2023,12/29/2023,6/28/2023,Avenant,1725059,7643.5,client_47,307,51,Female,Divorced
205856,16106,2021,6/23/2022,10/5/2021,12/28/2021,6/24/2022,Avenant,5141232,688.29,client_48,84,60,Female,Married
277611,16111,2022,1/2/2023,3/3/2022,12/29/2022,1/29/2023,Avenant,6157181,11941.73,client_49,301,43,Male,Married
210804,16115,2022,7/30/2022,7/24/2022,6/28/2023,8/29/2022,Affaire Nouvelle,6374289,18005.13,client_50,159,34,Female,Single
210804,16115,2022,7/30/2022,7/24/2022,6/28/2023,8/29/2022,Affaire Nouvelle,6374289,18005.13,client_50,180,34,Female,Single
144842,16080,2020,10/31/2020,6/28/2020,6/27/2021,11/28/2020,Avenant,4216785,66270.25,client_51,184,26,Male,Single
144842,16080,2020,10/31/2020,6/28/2020,6/27/2021,11/28/2020,Avenant,4216785,66270.25,client_51,180,26,Male,Single
375089,16107,2024,1/22/2024,12/30/2023,12/28/2024,1/30/2024,Terme,6109277,16754.75,client_52,364,49,Male,Married
406343,16118,2024,3/14/2024,12/30/2023,12/28/2024,3/28/2024,Terme,6346990,1352.4382,client_53,364,30,Male,Married
619823,16157,2026,3/22/2026,12/29/2025,5/29/2026,3/31/2026,Terme,35014391,8756.345206,client_54,151,37,Female,Single
373547,16111,2024,1/10/2024,12/30/2023,12/28/2024,1/30/2024,Terme,6157221,17930.43,client_55,364,45,Male,Married
578726,16144,2025,10/3/2025,9/28/2025,5/29/2026,10/28/2025,Terme,29655342,36799.9666,client_56,92,60,Female,Divorced
578726,16144,2025,10/3/2025,9/28/2025,5/29/2026,10/28/2025,Terme,29655342,36799.9666,client_56,151,60,Female,Divorced
153302,16093,2021,4/19/2021,12/29/2020,12/28/2021,4/27/2021,Terme,4694946,52926.32,client_57,364,46,Female,Married
289535,16102,2023,2/26/2023,12/30/2022,12/29/2023,2/26/2023,Terme,4897467,30487.5,client_58,364,54,Male,Single
502337,16142,2024,1/9/2025,11/17/2024,6/27/2025,1/28/2025,Avenant,29629815,2456.72,client_59,42,46,Male,Married
502337,16142,2024,1/9/2025,11/17/2024,6/27/2025,1/28/2025,Avenant,29629815,2456.72,client_59,180,46,Male,Married
405863,16132,2024,2/29/2024,12/30/2023,12/28/2024,3/28/2024,Affaire Nouvelle,17292824,13680.25,client_60,364,47,Female,Single
284367,16112,2023,2/6/2023,12/30/2022,12/29/2023,2/26/2023,Terme,6236427,10706.34,client_61,364,46,Female,Married
509623,16101,2025,1/21/2025,12/29/2024,12/28/2025,1/28/2025,Terme,4870083,35462.46,client_62,364,31,Male,Married
166747,16106,2021,8/21/2021,7/9/2021,12/28/2021,8/27/2021,Affaire Nouvelle,5141232,10330.62,client_48,172,60,Female,Married
189214,16091,2022,2/23/2022,12/29/2021,12/29/2022,2/26/2022,Terme,1713589,82110.29,client_63,365,25,Male,Single
308756,16122,2023,6/23/2023,6/4/2023,12/29/2023,6/28/2023,Avenant,12289046,12701.99,client_64,208,52,Female,Divorced
276955,16096,2022,12/25/2022,6/10/2022,5/16/2023,12/28/2022,Avenant,4766030,6777.78,client_65,203,56,Male,Widowed
276955,16096,2022,12/25/2022,6/10/2022,5/16/2023,12/28/2022,Avenant,4766030,6777.78,client_65,137,56,Male,Widowed
485062,16144,2024,10/24/2024,9/28/2024,9/26/2025,10/30/2024,Affaire Nouvelle,29656112,29683.5,client_66,92,48,Female,Married
485062,16144,2024,10/24/2024,9/28/2024,9/26/2025,10/30/2024,Affaire Nouvelle,29656112,29683.5,client_66,271,48,Female,Married
607916,16090,2025,12/27/2025,2/7/2025,12/28/2025,12/29/2025,Avenant,4111169,928.75,client_67,324,29,Male,Single
526039,16122,2025,3/25/2025,12/29/2024,12/28/2025,3/28/2025,Terme,12289046,92941.89,client_64,364,52,Female,Divorced
502439,16127,2024,1/10/2025,10/31/2024,6/27/2025,1/28/2025,Avenant,15373094,10953.2,client_68,59,30,Male,Married
502439,16127,2024,1/10/2025,10/31/2024,6/27/2025,1/28/2025,Avenant,15373094,10953.2,client_68,180,30,Male,Married
526039,16122,2025,3/25/2025,12/29/2024,12/28/2025,3/28/2025,Terme,8792116,80198.9,client_33,364,56,Male,Married
628544,16118,2026,4/3/2026,12/29/2025,5/29/2026,4/28/2026,Terme,8681357,1280.635592,client_69,151,42,Male,Married
340479,16126,2023,10/9/2023,9/29/2023,9/27/2024,10/29/2023,Avenant,4410608,40659.2,client_70,92,60,Female,Widowed
340479,16126,2023,10/9/2023,9/29/2023,9/27/2024,10/29/2023,Avenant,4410608,40659.2,client_70,272,60,Female,Widowed
283887,16099,2023,1/26/2023,12/30/2022,12/29/2023,1/29/2023,Terme,4865325,3491.8323,client_71,364,26,Male,Divorced
271907,16100,2022,12/11/2022,5/28/2022,12/29/2022,12/28/2022,Avenant,4869454,1019.88,client_72,215,49,Male,Married
460670,16120,2024,7/14/2024,4/5/2024,3/28/2025,7/29/2024,Avenant,8760652,12833.9,client_73,268,49,Male,Single
460670,16120,2024,7/14/2024,4/5/2024,3/28/2025,7/29/2024,Avenant,8760652,12833.9,client_73,89,49,Male,Single
205857,16105,2021,6/23/2022,6/28/2021,12/28/2021,6/24/2022,Avenant,5083978,1137.88,client_74,183,41,Female,Married
484988,16102,2024,10/21/2024,7/15/2024,12/28/2024,10/30/2024,Avenant,4882676,5343.71,client_75,166,35,Female,Married
428637,16112,2024,4/29/2024,4/29/2024,4/27/2025,5/28/2024,Terme,6263752,33515.79,client_76,244,55,Male,Widowed
428637,16112,2024,4/29/2024,4/29/2024,4/27/2025,5/28/2024,Terme,6263752,33515.79,client_76,119,55,Male,Widowed
570103,16103,2025,9/11/2025,5/30/2025,12/28/2025,9/27/2025,Avenant,4910568,1533.81,client_77,212,29,Male,Divorced
219806,16112,2022,9/10/2022,2/27/2022,2/26/2023,9/23/2022,Affaire Nouvelle,6212662,31887.7,client_78,306,44,Female,Married
219806,16112,2022,9/10/2022,2/27/2022,2/26/2023,9/23/2022,Affaire Nouvelle,6212662,31887.7,client_78,58,44,Female,Married
340477,16124,2023,10/9/2023,7/23/2023,3/28/2024,10/29/2023,Avenant,13073201,6964.75,client_79,160,47,Male,Divorced
340477,16124,2023,10/9/2023,7/23/2023,3/28/2024,10/29/2023,Avenant,13073201,6964.75,client_79,89,47,Male,Divorced
439306,16139,2024,5/26/2024,5/15/2024,12/28/2024,5/28/2024,Affaire Nouvelle,29503130,5055.34,client_80,227,50,Female,Married
167000,16104,2021,8/30/2021,3/5/2021,12/28/2021,9/28/2021,Avenant,4944752,1780.8612,client_81,298,50,Male,Single
289271,16119,2023,2/18/2023,1/1/2023,12/29/2023,2/26/2023,Affaire Nouvelle,8686207,13893.05,client_82,362,50,Female,Widowed
536629,16124,2024,5/22/2025,12/5/2024,6/27/2025,5/28/2025,Avenant,13048352,5997.87,client_83,24,51,Male,Divorced
536629,16124,2024,5/22/2025,12/5/2024,6/27/2025,5/28/2025,Avenant,13048352,5997.87,client_83,180,51,Male,Divorced
543635,16097,2024,6/2/2025,12/30/2023,12/28/2024,6/27/2025,Ristourne,4081471,-6767.66,client_16,364,45,Female,Married
159221,16094,2020,6/19/2021,12/30/2019,12/28/2020,6/27/2021,Avenant,4696508,1948.84,client_84,364,59,Male,Married
598685,16144,2025,12/7/2025,7/10/2025,9/26/2025,12/29/2025,Ristourne,29656112,-1148.96,client_66,78,48,Female,Married
301369,16100,2023,4/24/2023,2/20/2023,12/29/2023,4/28/2023,Avenant,941,7251.72,client_85,312,30,Male,Single
421510,16119,2023,4/4/2024,7/1/2023,12/29/2023,4/27/2024,Avenant,8686207,5806.37,client_82,181,50,Female,Widowed
302014,16082,2023,5/14/2023,1/8/2023,12/29/2023,5/30/2023,Avenant,1717472,2198.8,client_86,355,38,Female,Married
155653,16085,2021,5/22/2021,12/29/2020,12/28/2021,5/28/2021,Terme,1719117,30145.53,client_20,364,36,Male,Married
608037,16154,2025,12/28/2025,6/28/2025,3/29/2026,12/29/2025,Avenant,4817440,20204.66,client_87,184,52,Female,Married
608037,16154,2025,12/28/2025,6/28/2025,3/29/2026,12/29/2025,Avenant,4817440,20204.66,client_87,90,52,Female,Married
526825,16155,2025,4/12/2025,3/15/2025,12/28/2025,4/27/2025,Avenant,34945720,8020.61,client_88,288,25,Male,Single
302606,16084,2023,5/29/2023,2/21/2023,12/29/2023,5/30/2023,Avenant,93343,1283.84,client_89,311,43,Male,Married
173271,16073,2020,10/4/2021,6/28/2020,6/27/2021,10/28/2021,Terme,3274067,21776.0,client_31,184,60,Female,Married
173271,16073,2020,10/4/2021,6/28/2020,6/27/2021,10/28/2021,Terme,3274067,21776.0,client_31,180,60,Female,Married
145444,16076,2020,11/23/2020,12/30/2019,12/28/2020,11/28/2020,Avenant,724176,5707.39,client_90,364,26,Male,Single
308756,16119,2023,6/23/2023,1/30/2023,12/29/2023,6/28/2023,Avenant,8686207,47577.64,client_82,333,50,Female,Widowed
145444,16077,2020,11/23/2020,3/29/2020,3/28/2021,11/28/2020,Avenant,3223174,26723.39,client_91,275,43,Male,Single
145444,16077,2020,11/23/2020,3/29/2020,3/28/2021,11/28/2020,Avenant,3223174,26723.39,client_91,89,43,Male,Single
284296,16117,2022,2/4/2023,11/29/2022,12/29/2022,2/26/2023,Affaire Nouvelle,1729079,129.2,client_92,30,32,Male,Divorced
375092,16120,2024,1/22/2024,12/30/2023,12/28/2024,1/30/2024,Terme,8734075,33702.85,client_93,364,25,Male,Single
192792,16097,2022,3/18/2022,12/29/2021,12/29/2022,3/30/2022,Terme,4081471,2526.2624,client_16,365,45,Female,Married
193611,16081,2022,4/7/2022,12/29/2021,12/29/2022,4/28/2022,Terme,1716026,41661.66,client_94,365,45,Female,Married
598613,16147,2025,12/6/2025,1/12/2025,12/28/2025,12/29/2025,Avenant,14417263,4964.35,client_95,350,50,Female,Married
289169,16112,2022,2/14/2023,7/8/2022,12/29/2022,2/26/2023,Avenant,6235777,1522.79,client_96,174,55,Female,Married
598615,16107,2025,12/6/2025,12/29/2024,12/28/2025,12/29/2025,Avenant,6099767,5040.21,client_97,364,60,Male,Married
302570,16073,2023,5/28/2023,3/30/2023,3/28/2024,5/30/2023,Terme,1707283,60864.4,client_98,275,48,Male,Divorced
302570,16073,2023,5/28/2023,3/30/2023,3/28/2024,5/30/2023,Terme,1707283,60864.4,client_98,89,48,Male,Divorced
579328,16106,2025,10/18/2025,9/28/2025,5/29/2026,10/28/2025,Terme,6066404,19192.87233,client_99,92,60,Female,Married
579328,16106,2025,10/18/2025,9/28/2025,5/29/2026,10/28/2025,Terme,6066404,19192.87233,client_99,151,60,Female,Married
308488,1987,2022,6/17/2023,2/13/2022,12/29/2022,6/28/2023,Avenant,126487,3813.51,client_100,319,57,Female,Widowed
598495,16126,2025,12/4/2025,10/29/2025,5/29/2026,12/29/2025,Ristourne,4410608,-2824.563593,client_70,61,60,Female,Widowed
598495,16126,2025,12/4/2025,10/29/2025,5/29/2026,12/29/2025,Ristourne,4410608,-2824.563593,client_70,151,60,Female,Widowed
156457,16095,2021,5/29/2021,12/29/2020,12/28/2021,6/27/2021,Terme,4719776,41681.26,client_101,364,49,Female,Married
284366,16119,2023,2/6/2023,1/2/2023,1/1/2024,2/26/2023,Affaire Nouvelle,6101269,20593.6,client_102,362,54,Female,Married
284366,16119,2023,2/6/2023,1/2/2023,1/1/2024,2/26/2023,Affaire Nouvelle,6101269,20593.6,client_102,2,54,Female,Married
501217,16138,2024,12/18/2024,4/28/2024,3/28/2025,12/29/2024,Avenant,4091705,10645.65,client_103,245,38,Female,Single
501217,16138,2024,12/18/2024,4/28/2024,3/28/2025,12/29/2024,Avenant,4091705,10645.65,client_103,89,38,Female,Single
526039,16109,2025,3/25/2025,12/29/2024,12/28/2025,3/28/2025,Terme,6151040,9485.0,client_104,364,25,Male,Single
154766,16096,2020,5/10/2021,12/30/2019,12/28/2020,5/28/2021,Avenant,4780967,1812.7,client_105,364,60,Female,Divorced
526824,16155,2025,4/12/2025,3/14/2025,12/28/2025,4/27/2025,Affaire Nouvelle,34945720,28558.24,client_88,289,25,Male,Single
143866,16085,2020,10/5/2020,12/30/2019,12/28/2020,10/28/2020,Avenant,4567348,3132.4,client_106,364,25,Male,Single
560587,16159,2025,7/26/2025,6/28/2025,5/29/2026,7/28/2025,Affaire Nouvelle,35065397,10781.30959,client_107,184,45,Female,Widowed
560587,16159,2025,7/26/2025,6/28/2025,5/29/2026,7/28/2025,Affaire Nouvelle,35065397,10781.30959,client_107,151,45,Female,Widowed
477879,16144,2024,10/14/2024,10/1/2024,9/30/2025,10/30/2024,Affaire Nouvelle,29657242,46719.64,client_108,89,33,Male,Married
477879,16144,2024,10/14/2024,10/1/2024,9/30/2025,10/30/2024,Affaire Nouvelle,29657242,46719.64,client_108,275,33,Male,Married
406645,16136,2024,3/21/2024,1/11/2024,12/28/2024,3/28/2024,Affaire Nouvelle,18450977,5928.47,client_109,352,60,Female,Widowed
155696,16088,2021,5/23/2021,12/29/2020,12/28/2021,5/28/2021,Terme,4626690,54538.88,client_110,364,25,Male,Single
271455,16092,2022,11/28/2022,1/16/2022,12/29/2022,11/28/2022,Avenant,4692841,15998.69,client_111,347,46,Female,Married
509649,16153,2025,1/23/2025,12/29/2024,12/28/2025,1/28/2025,Affaire Nouvelle,34883156,18217.0,client_112,364,33,Male,Single
271457,16103,2022,11/28/2022,4/26/2022,12/29/2022,11/28/2022,Avenant,4930379,12801.18,client_113,247,33,Female,Married
205858,16108,2021,6/23/2022,11/28/2021,12/28/2021,6/24/2022,Avenant,6150476,81.47,client_114,30,55,Male,Divorced
536173,16121,2025,5/12/2025,3/29/2025,3/29/2026,5/28/2025,Terme,8761451,37815.26,client_115,275,54,Female,Married
536173,16121,2025,5/12/2025,3/29/2025,3/29/2026,5/28/2025,Terme,8761451,37815.26,client_115,90,54,Female,Married
375090,16122,2024,1/22/2024,12/30/2023,12/28/2024,1/30/2024,Terme,8793315,13822.8,client_116,364,51,Male,Divorced
205873,16084,2021,6/23/2022,8/17/2021,12/28/2021,6/24/2022,Avenant,1718607,1531.64,client_117,133,42,Female,Single
387732,16088,2024,2/22/2024,12/30/2023,12/28/2024,2/26/2024,Terme,4626690,30204.42,client_110,364,25,Male,Single
141205,16096,2020,7/12/2020,6/29/2020,6/27/2021,7/28/2020,Affaire Nouvelle,4789100,7138.98,client_118,183,44,Female,Divorced
141205,16096,2020,7/12/2020,6/29/2020,6/27/2021,7/28/2020,Affaire Nouvelle,4789100,7138.98,client_118,180,44,Female,Divorced
271900,16108,2022,12/11/2022,6/26/2022,12/29/2022,12/28/2022,Avenant,6150476,7747.2,client_114,186,55,Male,Divorced
151317,16094,2021,3/5/2021,12/29/2020,12/28/2021,3/28/2021,Terme,4704478,35447.48,client_119,364,39,Male,Single
284296,16117,2023,2/4/2023,12/30/2022,12/29/2023,2/26/2023,Terme,1729079,2955.6,client_92,364,32,Male,Divorced
562828,16103,2024,8/23/2025,9/2/2024,12/28/2024,8/28/2025,Avenant,4700564,3588.78,client_120,117,58,Female,Single
477975,16130,2024,10/17/2024,9/28/2024,9/27/2025,10/30/2024,Terme,17261969,20454.04,client_121,92,60,Female,Divorced
477975,16130,2024,10/17/2024,9/28/2024,9/27/2025,10/30/2024,Terme,17261969,20454.04,client_121,272,60,Female,Divorced
562774,16135,2025,8/22/2025,4/11/2025,12/28/2025,8/28/2025,Avenant,17310456,2490.08,client_122,261,42,Female,Married
192693,16106,2022,3/14/2022,12/29/2021,12/29/2022,3/30/2022,Terme,6029834,10172.0,client_12,365,38,Female,Married
468591,16093,2024,8/23/2024,7/14/2024,12/28/2024,8/28/2024,Avenant,2279633,4665.41,client_123,167,47,Male,Widowed
494105,16130,2024,12/10/2024,10/1/2024,9/27/2025,12/28/2024,Avenant,17261969,8615.41,client_121,89,60,Female,Divorced
494105,16130,2024,12/10/2024,10/1/2024,9/27/2025,12/28/2024,Avenant,17261969,8615.41,client_121,272,60,Female,Divorced
171373,16073,2020,9/30/2021,12/30/2019,12/28/2020,10/28/2021,Avenant,1707383,44776.42,client_124,364,40,Male,Married
517338,16137,2025,2/15/2025,12/29/2024,12/28/2025,2/25/2025,Affaire Nouvelle,18451691,42588.9,client_125,364,27,Male,Married
276725,16096,2020,12/22/2022,8/16/2020,3/28/2021,12/28/2022,Avenant,4764718,1842.24,client_126,135,25,Male,Married
276725,16096,2020,12/22/2022,8/16/2020,3/28/2021,12/28/2022,Avenant,4764718,1842.24,client_126,89,25,Male,Married
446282,16139,2024,6/10/2024,4/11/2024,12/28/2024,6/27/2024,Affaire Nouvelle,28719077,12812.17,client_127,261,42,Female,Married
136014,16086,2020,2/14/2020,12/30/2019,12/28/2020,2/26/2020,Terme,1719760,28830.0,client_128,364,29,Female,Married
578288,16144,2025,9/25/2025,9/28/2025,5/29/2026,9/28/2025,Terme,29656112,21823.13571,client_66,92,48,Female,Married
578288,16144,2025,9/25/2025,9/28/2025,5/29/2026,9/28/2025,Terme,29656112,21823.13571,client_66,151,48,Female,Married
569940,16133,2025,9/6/2025,6/12/2025,12/28/2025,9/27/2025,Avenant,17306063,24729.48,client_129,199,30,Female,Married
194046,16088,2022,4/18/2022,12/29/2021,12/29/2022,4/28/2022,Terme,4626690,51551.87,client_110,365,25,Male,Single
544234,16111,2025,6/16/2025,2/18/2025,2/17/2026,6/27/2025,Avenant,6204871,2892.21,client_130,314,37,Male,Married
544234,16111,2025,6/16/2025,2/18/2025,2/17/2026,6/27/2025,Avenant,6204871,2892.21,client_130,50,37,Male,Married
579328,16143,2025,10/18/2025,8/29/2025,9/27/2025,10/28/2025,Avenant,4717289,500.37,client_131,29,46,Female,Divorced
544236,16121,2025,6/16/2025,3/31/2025,12/28/2025,6/27/2025,Avenant,8767851,5554.57,client_132,272,34,Male,Single
528292,16156,2025,4/20/2025,3/24/2025,3/24/2026,4/27/2025,Affaire Nouvelle,34967464,22504.0,client_133,280,25,Male,Divorced
528292,16156,2025,4/20/2025,3/24/2025,3/24/2026,4/27/2025,Affaire Nouvelle,34967464,22504.0,client_133,85,25,Male,Divorced
609157,16139,2025,1/23/2026,12/11/2025,3/29/2026,1/28/2026,Avenant,29503678,1168.62,client_134,18,25,Male,Married
609157,16139,2025,1/23/2026,12/11/2025,3/29/2026,1/28/2026,Avenant,29503678,1168.62,client_134,90,25,Male,Married
149057,16100,2021,1/14/2021,12/29/2020,12/28/2021,1/28/2021,Affaire Nouvelle,4869454,34725.5,client_72,364,49,Male,Married
428633,16099,2024,4/29/2024,1/22/2024,12/28/2024,5/28/2024,Avenant,4865324,85020.85,client_135,341,31,Male,Married
421509,16105,2023,4/4/2024,11/7/2023,12/29/2023,4/27/2024,Ristourne,5080335,-2514.53,client_136,52,39,Female,Divorced
340474,16107,2023,10/9/2023,7/30/2023,6/27/2024,10/29/2023,Avenant,6100951,3045.34,client_137,153,42,Female,Married
340474,16107,2023,10/9/2023,7/30/2023,6/27/2024,10/29/2023,Avenant,6100951,3045.34,client_137,180,42,Female,Married
579328,16143,2025,10/18/2025,9/28/2025,5/29/2026,10/28/2025,Terme,29652506,25614.26384,client_138,92,27,Female,Single
579328,16143,2025,10/18/2025,9/28/2025,5/29/2026,10/28/2025,Terme,29652506,25614.26384,client_138,151,27,Female,Single
544236,16120,2025,6/16/2025,5/12/2025,3/29/2026,6/27/2025,Avenant,8760652,6593.36,client_73,231,49,Male,Single
